Artist,Title,Mood
Madredeus,O Paraíso,relaxed
Jonathan Coulton,You Ruined Everything,happy
Badly Drawn Boy,This Song,relaxed
Rage Against the Machine,No Shelter,angry
Marla Hansen,Shuffle Your Feet,relaxed
Sophie Zelmani,Fire,sad
Janis Joplin,Get It While You Can,relaxed
Pere Ubu,30 Seconds Over Tokyo,angry
Eftos,Hyaluron,angry
Kool Keith,Tess Shit,angry
Blur,1992,sad
Zombie Girl,Creepy Crawler,angry
Casiotone for the Painfully Alone,Don't They Have Payphones Wherever You Were Last Night,sad
of Montreal,Your Magic Is Working,happy
DIR EN GREY,Merciless Cult,angry
Mayer Hawthorne,A Strange Arrangement,relaxed
Destroyer,Foam Hands,sad
The Sisters Of Mercy,Doctor Jeep,sad
Thirteen Senses,Undivided,sad
Sambassadeur,Ice & Snow,relaxed
Slipknot,Pulse of the Maggots,angry
Gwen Stefani,Rich Girl,happy
Carnifex,Sadistic Embrace,angry
Slayer,Here Comes the Pain,angry
Rihanna,SOS,happy
The Isley Brothers,Hello It's Me,relaxed
The Innocence Mission,Walking Around,relaxed
Clap Your Hands Say Yeah,Upon This Tidal Wave of Young Blood,happy
Michelle Williams,We Break The Dawn,happy
Scandinavian Music Group,Ilman sinua olen lyijyä,sad
M83,She Stands Up,relaxed
The Ruts,Babylon's Burning,angry
Pere Ubu,Modern Dance,angry
Whiskeytown,Easy Hearts,relaxed
Megadeth,Train of Consequences,angry
Anathema,Fragile Dreams,sad
Matt Dusk,Always,relaxed
Remy Shand,Burning Bridges,relaxed
Muse,Hyper Music,angry
Detonautas Roque Clube,Você Me Faz Tão Bem,sad
We Are Scientists,What's The Word,angry
Slightly Stoopid,Wiseman,relaxed
Anaal Nathrakh,The Destroying Angel,angry
Union of Knives,Evil Has Never,sad
Imogen Heap,Spooky,relaxed
Blue Oyster Cult,Godzilla,angry
Blur,It Could Be You,happy
Diamanda Galás,Free Among the Dead,angry
Leonard Cohen,Teachers,sad
Tim Buckley,No Man Can Find The War,sad
Harry Belafonte,Jump in the Line,happy
Bad Company,Bad Company,sad
Jamie Lidell,Multiply,happy
Cat Power,Cross Bones Style,angry
Slayer,Darkness of Christ,angry
Papa Roach,Dead Cell,angry
The Pierces,Lights On,happy
Ween,Boys Club,happy
Talk Talk,I Don't Believe in You,sad
The Cinematic Orchestra,Burn Out,relaxed
Dope,Pig Society,angry
Stina Nordenstam,The End of a Love Affair,sad
Woven Hand,Story and Pictures,sad
Queens Of The Stone Age,Feel Good Hit Of The Summer,happy
Pnau,Embrace,happy
Maps,Glory Verse,relaxed
Flowing Tears,Portsall (Departure Song),sad
Louis Armstrong,Nobody Knows The Trouble I've Seen,sad
Old Crow Medicine Show,Down Home Girl,happy
Donald Fagen,Walk Between Raindrops,relaxed
Al Martino,VOLARE,happy
Pat Boone,Speedy Gonzales,happy
Inner City,Big Fun,happy
Black Sabbath,The Writ,angry
Groove Armada,But I Feel Good,happy
Billy Talent,Pins and Needles,sad
Megadeth,Crush 'Em,angry
Girls Aloud,Whole Lotta History,sad
Blink 182,Adam's Song,angry
Yelle,Mal Poli,happy
Shearwater,You're the Coliseum,relaxed
Lloyd Cole And The Commotions,Are You Ready To Be Heartbroken?,sad
Miley Cyrus,Breakout,happy
Opeth,The Baying of the Hounds,sad
DMX,What's My Name?,angry
Chris Garneau,Things She Said,sad
My Dying Bride,The Light at the End of the World,sad
Baccara,"Sorry, I'm A Lady",happy
Panzer AG,Filth God,angry
Green Day,Platypus,angry
Boyzone,Baby Can I Hold You,relaxed
Howard Jones,Life In One Day,happy
Mindy Smith,Falling,relaxed
Shenandoah,Ghost In This House,sad
The Gathering,Golden Grounds,sad
Anouk,For Bitter Or Worse,sad
The Smashing Pumpkins,Rotten Apples,sad
The Good Life,Heartbroke,sad
Jack Johnson,The Horizon Has Been Defeated,relaxed
The Smiths,This Night Has Opened My Eyes,sad
Idlewild,Love Steals Us From Loneliness,sad
Delta Goodrem,You Will Only Break My Heart,happy
Metallica,Last Caress/Green Hell,angry
Korn,Right Now,angry
Morphine,Murder For The Money,sad
Neurosis,To the Wind,sad
Free,All Right Now,happy
The Beatles,Please Please Me,happy
50 Cent,In Da Club,happy
Trevor Hall,Other Ways,relaxed
Sharon Van Etten,Don't Do It,sad
Slipknot,Wait and Bleed,angry
Alesana,"Congratulations, I hate you",angry
Husky Rescue,Diamonds in the Sky,relaxed
The Fall,Middle Class Revolt,angry
Dope,Die Motherfucker Die,angry
All Time Low,Poppin' Champagne,happy
Megadeth,Black Curtains,angry
PJ Harvey,Snake,angry
Megadeth,Mastermind,angry
The Band,The Night They Drove Old Dixie Down (alternate mix),sad
Turisas,Sahti-Waari,happy
My Morning Jacket,Xmas Curtain,relaxed
Terence Trent D'arby,Delicate,relaxed
Wesley Willis,Oil Express,happy
Boney James,In The Rain ,relaxed
Krokus,Screaming in the Night,angry
The Black Ghosts,Full Moon,relaxed
Incubus,Megalomaniac,angry
Antimatter,God Is Coming,sad
Carbon Leaf,Changeless,relaxed
Pato Fu,30.000 Pés,relaxed
Remy Shand,Take A Message,relaxed
Hawk Nelson,Everything You Ever Wanted,sad
The Jackson 5,The Love You Save,happy
My Dying Bride,Into the Lake of Ghosts,sad
Little Brother,Nighttime Maneuvers,relaxed
Dashboard Confessional,The Shade Of Poison Trees,sad
Böhse Onkelz,"Bin ich nur glücklich, wenn es schmerzt",sad
Enigma,Return to Innocence,relaxed
Dr. Hook,Sylvia's Mother,sad
Eminem,Soldier,angry
Today Is The Day,Temple of the Morning Star,sad
Blondie,One Way Or Another,happy
Beck,Modern Guilt,relaxed
Moxy Früvous,I Love My Boss,happy
Michael Jackson,Someone Put Your Hand Out,relaxed
Pete and the Pirates,Mr Understanding,happy
Slayer,Flesh Storm,angry
Limp Bizkit,Nookie,angry
Copeland,The Grey Man,relaxed
Donald Fagen,Mary Shut The Garden Door,relaxed
Lisa Hannigan,Pistachio,relaxed
Cars Can Be Blue,Dirty Song,happy
Grace Jones,I'm Crying (Mother's Tears),sad
Cajun Dance Party,Amylase,happy
Britney Spears,The Beat Goes On,happy
Kayo Dot,Immortelle and Paper Caravelle,relaxed
Brother Ali,Walking Away,sad
En Vogue,Free Your Mind,happy
Bodyrox,Yeah Yeah,happy
KC And The Sunshine Band,Get Down Tonight,happy
Jack Johnson,Posters,relaxed
Air,New Star in the Sky,relaxed
Children of Bodom,Hatebreeder,angry
DIR EN GREY,AGITATED SCREAMS OF MAGGOTS,angry
José González,Stay In The Shade,relaxed
The New Pornographers,Star Bodies,happy
Dubstar,St. Swithin's Day,relaxed
Ween,Voodoo Lady,happy
Andrew Bird,Armchairs,relaxed
Peaches,Fuck The Pain Away,happy
Delta Goodrem,Throw It Away,relaxed
The Cure,The Lovecats,happy
All Time Low,The Beach,happy
Red House Painters,San Geronimo,sad
Zero 7,I Have Seen,relaxed
Mazzy Star,Free,relaxed
Monster Magnet,Powertrip,angry
Vangelis,Tales of the Future,relaxed
Crippled Black Phoenix,Burnt Reynolds,sad
Sia,Little Black Sandals,relaxed
Renee Olstead,Taking A Chance On Love,relaxed
My Dying Bride,Black God,sad
JC Chasez,Dear Goodbye,sad
Soulsavers,You Will Miss Me When I Burn,sad
Goldfish,Hold Tight,happy
The Modern Lovers,Hospital,sad
Alanis Morissette,All I Really Want,angry
James,Say Something,sad
Dan Le Sac vs Scroobius Pip,Look For The Woman,sad
The Constructus Corporation,I'll See You Now Now,relaxed
Ice Cube,My Summer Vacation,angry
We Are The Fallen,I Am Only One,sad
Evergreen Terrace,Mad World,angry
Hot Chocolate,You Sexy Thing,happy
The Cat Empire,The Rhythm,happy
Ulrich Schnauss,On My Own,relaxed
The Mars Volta,Tetragrammaton,angry
El Perro del Mar,This Loneliness,sad
John Denver,Grandma's Feather Bed,happy
LL Cool J,Mama Said Knock You Out,angry
Gary Numan,Absolution,sad
Beck,Qué Onda Guero,happy
No Doubt,Rock Steady,relaxed
Tori Amos,Tombigbee,angry
Babes In Toyland,Handsome and Gretel,angry
Eagle-Eye Cherry,Permanent Tears,relaxed
No Use for a Name,Born Addicted,angry
Immortal Technique,The 4th Branch,angry
The Format,On Your Porch (acoustic),sad
Tracey Thorn,Nowhere Near,sad
Tenacious D,Papagenu (He's My Sassafrass),happy
Nine Inch Nails,Ruiner,angry
Tool,Intolerance,angry
Jorge Ben,Que Maravilha,relaxed
Melody Gardot,Goodnite,relaxed
Will Young,Who Am I,sad
Lords of Acid,I Sit On Acid (Soulwax remix),happy
Norah Jones,Broken,relaxed
Abra Moore,Sorry,relaxed
David Ford,Laughing Aloud,relaxed
Tracey Thorn,A-Z,sad
Björk,Army Of Me,angry
Despised Icon,In The Arms Of Perdition,angry
Mercury Rev,Holes,relaxed
Peter & Gordon,Lady Godiva,happy
The Notorious B.I.G.,Ready to Die,angry
The Mars Volta,Roulette Dares (The Haunt Of),angry
Deee-Lite,Groove Is In The Heart,happy
Hungry Lucy,To Kill a King,relaxed
Katy Perry,I Kissed A Girl,happy
Tom Waits,Cold Cold Ground,sad
Supreme Beings of Leisure,What's the Deal,relaxed
Curtis Mayfield,Future Shock,angry
Daughtry,What I Want,angry
Megadeth,Prince of Darkness,angry
Junior Boys,Caught in a Wave,relaxed
Lil' Kim,How Many Licks ,happy
Cyndi Lauper,I Drove All Night,happy
Donavon Frankenreiter,On My Mind,relaxed
Slayer,Public Display Of Dismemberment,angry
Slayer,Mandatory Suicide,angry
Lady Gaga,Teeth,happy
Toby Keith,Who's Your Daddy?,happy
M.I.A.,Jimmy,happy
Buzzcocks,Ever Fallen in Love?,angry
The Specials,Guns of Navarone,happy
Katatonia,Brave,sad
Gordon Lightfoot,Carefree Highway,relaxed
Ivy,Edge Of The Ocean,relaxed
Leonard Cohen,The Old Revolution,sad
Porcupine Tree,Shesmovedon,sad
Tupac Shakur,Fuck the World,angry
The Rolling Stones,Heart Of Stone,sad
Rickie Lee Jones,Easy Money,relaxed
Drowning Pool,Step Up,angry
Rage Against the Machine,Bullet In The Head,angry
Foo Fighters,The Pretender,angry
Björn Rosenström,Lurad,happy
Tilly and the Wall,Sing Songs Along,happy
Guano Apes,You Can't Stop Me,angry
The Byrds,He Was A Friend Of Mine,sad
Feelies,Fa Cé-La,angry
Kiss,I Still Love You,sad
The J. Geils Band,Centerfold,happy
Veronica Maggio,MÃ¥ndagsbarn,happy
Mando Diao,Clean Town,happy
Westlife,Uptown Girl,happy
Oceansize,Only Twin,sad
God Module,Sections,sad
Dawn Landes,You Alone,sad
The Stills,Everything I Build,sad
Beth Rowley,Angel Flying Too Close To The Ground,sad
Syd Barrett,Terrapin,relaxed
Marilyn Manson,Man That You Fear,angry
Alice Cooper,Wake the Dead,angry
Slayer,Overt Enemy,angry
Blue Öyster Cult,Death Valley Nights,sad
Barry Mann,Who Put The Bomp ,happy
Frightened Rabbit,My Backwards Walk,sad
Destruction,Fear of the moment,angry
Cradle of Filth,Filthy Little Secret,angry
Bruce Springsteen,Born in the USA,angry
Tilly and the Wall,Fell Down the Stairs,happy
At the Gates,Suicide Nation,angry
Seether,Fade Away,sad
Lamb of God,What I've Become,angry
NOFX,Murder The Government,angry
Al Green,I'm Still In Love With You,relaxed
My Bloody Valentine,No More Sorry,sad
Rammstein,Mutter,sad
Jarvis Cocker,Running The World,angry
Slayer,Hate Worldwide,angry
Megadeth,Foreclosure of a Dream,angry
Mamonas Assassinas,Vira-Vira,happy
Police,Can't Stand Losing You,angry
The Brand New Heavies,Dream Come True,happy
Jack Johnson,Adrift,relaxed
Megadeth,Seven,angry
Killswitch Engage,Unbroken,angry
Enigma,Callas Went Away,relaxed
As Cities Burn,Timothy,sad
Katatonia,Leaders,sad
Hot Chip,In The Privacy Of Our Love,relaxed
Stephen Lynch,Vanilla Ice Cream,happy
Enya,Amid the Falling Snow,relaxed
Tenpole Tudor,Wunderbar,happy
The Little Ones,There's a Pot a Brewin',happy
Sentenced,Aika Multaa Muistot (everything Is Nothing),sad
The Album Leaf,There Is A Wind,relaxed
The Bird And The Bee,I'm a Broken Heart,sad
Hellsongs,Run to the Hills,relaxed
Grand National,Peanut Dreams,relaxed
Slayer,Live Undead,angry
Eliane Elias,Chega De Saudade,relaxed
Demon Hunter,My Heartstrings Come Undone,sad
Eluveitie,Elembivos,sad
Queen,Flash,happy
We Are The Fallen,Tear The World Down,sad
Sentenced,Nepenthe,sad
LeAnn Rimes,Big Deal,angry
Kings of Leon,McFearless,angry
Mando Diao,You Can't Steal My Love,happy
Sondre Lerche,To Be Surprised,happy
The Most Serene Republic,Proposition 61,relaxed
Atari Teenage Riot,Too Dead for Me,angry
The Arrogant Worms,Johnny Came Home Headless,happy
Ice T,New Jack Hustler,angry
Cult of Luna,And With Her Came The Birds,sad
DIR EN GREY,鼓動,sad
Anberlin,Dismantle.Repair.,sad
Lisa Stansfield,Change,happy
Yael Naïm,Lonely,sad
Marissa Nadler,Rosary,sad
The Dead Weather,Will There Be Enough Water?,sad
Dave Matthews Band,I Did It,relaxed
You Love Her Coz She's Dead,Superheroes,angry
Foo Fighters,Virginia Moon,relaxed
Moloko,Party Weirdo,happy
Okkervil River,It Ends With a Fall,sad
Anathallo,Kasa No Hone (the umbrella's bones),relaxed
Architecture in Helsinki,Red Turned White,happy
Gorgoroth,Incipit satan,angry
Richard Hawley,For Your Lover Give Some Time,sad
Jimmy Eat World,Disintegration,sad
Moxy Früvous,Entropy,happy
American Music Club,The Confidential Agent,sad
Minnie Riperton,Memory Lane,relaxed
Gary Numan,One Perfect Lie,sad
Abba,Take A Chance On Me,happy
Rammstein,Eifersucht,angry
Steely Dan,Things I Miss The Most,relaxed
J.B.O.,Walk with An Erection,happy
Leonard Cohen,Winter Lady,sad
Zen Café,Vattupuskassa,sad
Zac Brown Band,Chicken Fried,happy
David Holmes,Gritty Shaker,happy
Rammstein,Ohne dich,sad
The Little Willies,Lou Reed,happy
Rage Against the Machine,New Millennium Homes,angry
Katatonia,The Longest Year,sad
Cake,Where Would I Be?,sad
Chris Garneau,Black & Blue,sad
Aly & AJ,Like Whoa,happy
Shawn Colvin,Wichita Skyline,relaxed
Eurythmics,I Need You,sad
The Presidents of the United States of America,Lump,happy
Sophie Ellis-Bextor,Can't Have It All,sad
Slayer,Ghosts of War,angry
Cascada,What Hurts The Most,happy
El-P,Stepfather Factory,sad
Black Eyed Peas,Anxiety,angry
Interpol,Rest My Chemistry,sad
India.Arie,Little Things,relaxed
Swallow The Sun,Don't Fall Asleep (Horror Pt. 2),sad
Narsilion,A Night in Fairyland,relaxed
Sibylle Baier,Girl,relaxed
Ice Cube,Endangered Species (Tales From the Darkside),angry
Mastodon,I Am Ahab,angry
Louis Armstrong,That Lucky Old Sun ,relaxed
Cake,Wheels,happy
Carpark North,Fireworks,sad
David Bowie,Afraid,sad
Paris Hilton,Fightin' Over Me ,happy
The Smiths,What Difference Does It Make?,sad
Black Flag,Jealous Again,angry
The Oppressed,Victims,angry
Blur,Sunday Sunday,happy
Telepathe,So Fine,happy
Cat Stevens,How Can I Tell You,relaxed
A Perfect Circle,What's Going On,relaxed
Jack Johnson,Situations,relaxed
The Allman Brothers Band,Stormy Monday,relaxed
Echo & the Bunnymen,Do It Clean,angry
Eugene McGuinness,Those Old Black and White Movies Were True,relaxed
Patti LaBelle,New Day,relaxed
Karen O and the Kids,Rumpus,happy
John O'Callaghan,Never Fade Away,relaxed
Zebda,Tomber La Chemise,happy
ERA,Ameno,relaxed
James Yuill,This Sweet Love,relaxed
Natasha Bedingfield,I Wanna Have Your Babies,happy
Dr. Bombay,Rice & Curry,happy
Rage Against the Machine,In My Eyes,angry
Dirty Sanchez,Dig It,happy
Jean Grae,My Story,sad
The Mars Volta,Inertiatic Esp,angry
Todd Rundgren,Song of the Viking,happy
Todd Rundgren,Bang The Drum All Day,happy
Hagalaz' Runedance,Serenade of The Last Wolf,sad
Dead Kennedys,One-Way Ticket to Pluto,angry
Calvin Harris,Merrymaking At My Place,happy
Gil Scott-Heron,Whitey On The Moon,angry
Slayer,Consfearacy,angry
Death From Above 1979,Going Steady,happy
Macy Gray,Come Together,relaxed
The Germs,Sex Boy (Live),angry
Procol Harum,All This and More,sad
Aloha From Hell,Walk Away,sad
Daniel Boone,Beautiful Sunday,happy
"""Weird Al"" Yankovic",Trigger Happy,happy
Rivulets,Barreling Towards Nowhere Like There's No Tomorrow,sad
I Like Trains,The accident,sad
Jesu,Silver,sad
Adam Ant,Apollo 9,happy
Rachel Stevens,Fools,happy
Timo Rautiainen & Trio Niskalaukaus,Lintu,sad
Ensiferum,Slayer Of Light,angry
Maximilian Hecker,My Friends,sad
Silbermond,Symphonie,sad
Devin Townsend,Bad Devil,angry
Max Richter,Old Song,relaxed
Black Rebel Motorcycle Club,Suddenly,sad
Muse,Yes Please,angry
Scissor Sisters,Filthy/Gorgeous,happy
Nine Inch Nails,Something I Can Never Have,sad
Maximilian Hecker,Summer Days in Bloom,relaxed
Spike Jones & His City Slickers,Cocktails For Two,happy
Ludacris,Blow It Out,angry
Garou,Gitan,happy
Gillian Welch,By The Mark,relaxed
Leona Naess,Lazy Days,relaxed
Juana Molina,La Verdad,relaxed
Stray Cats,Rock This Town,happy
The Kooks,One Last Time,sad
Isobel Campbell & Mark Lanegan,No Place To Fall,sad
Air,Cherry Blossom Girl (Radio Mix),relaxed
Venom,Warhead,angry
The Alan Parsons Project,The Cask Of Amontillado,sad
Tone-Lōc,Wild Thing,happy
Dierks Bentley,What Was I Thinkin',happy
G. Love,Missing My Baby,relaxed
Christina Aguilera,Hurt,angry
The Stooges,T.V. Eye,angry
Arctic Monkeys,The View From the Afternoon,happy
3 Doors Down,Be Somebody,sad
stellastarr*,Sweet Troubled Soul,happy
Sun Kil Moon,Carry Me Ohio,sad
Sylvester,You Make Me Feel (Mighty Real),happy
Love,Orange Skies,relaxed
Diary of Dreams,Portrait Of A Cynic,sad
Tori Amos,Professional Widow,angry
ATB,Marrakech,relaxed
Death Cab For Cutie,Soul Meets Body (Rolling Stone Original),relaxed
Slayer,Ghosts Of War,angry
Lunascape,Inferno,relaxed
India.Arie,The Truth,relaxed
Neutral Milk Hotel,April 8th,sad
Isis,The Other,sad
Opeth,Heir Apparent,angry
High On Fire,The Face of Oblivion,angry
Mohombi,Bumpy Ride,happy
Dwele,Find A Way,relaxed
Ray Charles,What'd I Say,happy
Above & Beyond,Home,relaxed
Marilyn Manson,Misery Machine,angry
Titus Andronicus,Arms Against Atrophy,angry
Antimatter,Fighting for a Lost Cause,sad
Natalie Merchant,San Andreas Fault (Remastered LP Version),sad
Lisa Ekdahl,Öppna Upp Ditt Fönster,happy
Liv Kristine,Take Good Care,relaxed
Ben Folds Five,Brick,sad
Amy Winehouse,Monkey Man,happy
Air,Photograph,relaxed
DIR EN GREY,GRIEF,angry
Pearl Jam,Animal,angry
Ryan Adams,This House Is Not For Sale,relaxed
Lloyd Banks,Father Time,angry
SWV,You're The One,happy
Cut Off Your Hands,Oh Girl,happy
Nicole Atkins,Together We're Both Alone,relaxed
Zeromancer,Houses of Cards,sad
Biosphere,The Things I Tell You,relaxed
Until June,The Saddest Song,sad
Lordi,Hard Rock Hallelujah,happy
Edward Sharpe & the Magnetic Zeros,40 Day Dream,happy
David Jordan,Sun Goes Down,happy
Shenandoah,Ghost In this House,sad
Dew-Scented,Blueprints of hate,angry
Bon Jovi,Bad Medicine,happy
Cocteau Twins,Squeeze-Wax,relaxed
Anathema,Far Away,sad
The Velvet Underground,Sunday Morning,relaxed
David Sanborn,Try A Little Tenderness,relaxed
Rufus Wainwright,This Love Affair,sad
Bodo Wartke,Ich trau mich nicht,happy
The Maine,The Way We Talk,happy
"Harry Connick, Jr.",A Wink and a Smile,relaxed
Howie Day,Numbness For Sound,sad
Alison Krauss,Ghost in This House,sad
Richard Hell & the Voidoids,Love Comes in Spurts,angry
Dana Glover,Thinking Over,relaxed
Triumph the Insult Comic Dog,I Keed (Album Version),happy
Cake,Short Skirt/Long Jacket,happy
Godsmack,Vampires,angry
Jamie Cullum,These Are The Days,relaxed
Slipknot,(Sic),angry
Cradle of Filth,The Foetus of a New Day Kicking,angry
Animal Collective,Water Curses,happy
Groove Coverage,She,happy
Beatallica,Sgt. Hetfield's Motorbreath Pub Band,happy
Eminem,Lose Yourself,angry
Green Carnation,Two Seconds in Life,sad
Happy Mondays,Kinky Afro,happy
"""Weird Al"" Yankovic",Polkas On 45,happy
Nine Inch Nails,"No, You Don't",angry
The Crazy World of Arthur Brown,Fire,angry
Juanes,Me Enamora,happy
R.E.M.,Moon River,sad
Acid Bath,Dope Fiend,angry
Stephen Lynch,Little Tiny Moustache,happy
Robert Plant,Satan Your Kingdom Must Come Down,relaxed
Chris Garneau,Saturday,sad
Enya,Evacuee,relaxed
Calvin Harris,Disco Heat,happy
PJ Harvey,Man-Size,angry
Mortal Love,All The Beauty,sad
Lenny Kravitz,If You Can't Say No,relaxed
Jane Monheit,Moon River,relaxed
Turin Brakes,Future Boy,relaxed
Slayer,World Painted Blood,angry
Cavalera Conspiracy,Inflikted,angry
Boyzone,Gave It All Away,sad
Limp Bizkit,Eat You Alive,angry
Static-X,No Submission,angry
Primordial,Gallows Hymn,sad
Misfits,Violent World,angry
W.A.S.P.,I Don't Need No Doctor,angry
A Day To Remember,If It Means a Lot to You,sad
Prince,"Beautiful, Loved and Blessed",relaxed
Deine Lakaien,The Game,sad
Fatboy Slim,Talking Bout My Baby,happy
Cooler Kids,All Around The World (Punk Debutante),happy
